profile_id,name,rank,rating,country,games,wins,losses,drops,game_type
199170,dogao,4,2232,BR,459,349,110,14,1v1 Random Map
196240,TheViper,7,2207,DE,420,294,126,1,1v1 Random Map
199419,gkt_cloud,30,2074,TW,361,221,140,3,1v1 Random Map
312938,BacT,33,2060,VN,853,532,321,8,1v1 Random Map
2431776,ItsOver9000,54,2009,AR,62,39,23,1,1v1 Random Map
268565,RoR | Luca8761,67,1965,CA,619,320,299,7,1v1 Random Map
560474,Sunzets,68,1963,MX,81,58,23,2,1v1 Random Map
225365,Obadiah,77,1953,CA,484,275,209,6,1v1 Random Map
547152,Bella_Ciao,84,1933,TR,251,150,101,1,1v1 Random Map
1788064,我在时间尽头等你,86,1932,CN,456,254,202,1,1v1 Random Map
312774,Sun | Keno_,91,1926,MX,373,217,156,5,1v1 Random Map
350401,伊藤さん,95,1918,CN,18,12,6,1,1v1 Random Map
2521572,Mahya_  I  Twitch.tv,127,1866,MA,288,163,125,34,1v1 Random Map
316555,neromelnick,160,1825,CL,204,107,97,0,1v1 Random Map
1195260,Kellar,175,1807,NO,332,186,146,3,1v1 Random Map
280459,AoL_RecoN,178,1804,GB,334,187,147,3,1v1 Random Map
897060,三花六木九界通玄上仙,186,1795,CN,107,68,39,2,1v1 Random Map
453821,Macluffy,190,1787,BE,1757,906,851,22,1v1 Random Map
2526695,_63_GuAsOn_Arg,201,1775,AR,65,44,21,0,1v1 Random Map
235623,Twitch.tv | SpringTV,203,1774,US,800,436,364,14,1v1 Random Map
219493,TheSniper_AOE,207,1769,FR,1055,555,500,11,1v1 Random Map
2063382,Bobdedestructor,210,1766,DK,240,131,109,7,1v1 Random Map
1892228,KaN,212,1764,AR,79,51,28,3,1v1 Random Map
259265,chiefChing,238,1742,GB,255,147,108,0,1v1 Random Map
243287,Mustard Pudding,248,1736,CN,567,309,258,12,1v1 Random Map
332603,teutonic_tanks,258,1731,AT,47,37,10,0,1v1 Random Map
545512,你是很大ON9JAI,268,1724,NO,188,109,79,1,1v1 Random Map
238458,Barba_Amarillo.,271,1723,MX,476,257,219,4,1v1 Random Map
541010,JustAPlayer,276,1721,DE,52,40,12,0,1v1 Random Map
1829213,Falcao,278,1721,BR,145,90,55,3,1v1 Random Map
230432,steakmaster,285,1717,GB,296,165,131,2,1v1 Random Map
1189246,SC_Acti0n,309,1709,BR,180,106,74,3,1v1 Random Map
1821855,tanglang,319,1703,CN,661,348,313,4,1v1 Random Map
2419773,Pickle Rick,320,1702,DE,72,50,22,0,1v1 Random Map
208757,HeavenlyChorus,322,1701,CN,489,261,228,12,1v1 Random Map
222102,Annotoph,327,1700,DE,35,26,9,0,1v1 Random Map
2534796,NMNKING,344,1689,RU,262,146,116,1,1v1 Random Map
494384,raremome,370,1674,JP,13,12,1,0,1v1 Random Map
351793,Moonfaller,417,1654,NL,841,440,401,25,1v1 Random Map
229230,Calalpaco,433,1644,IT,360,197,163,14,1v1 Random Map
2462063,Ciclar Memb,437,1643,IT,39,19,20,0,1v1 Random Map
1097738,PuMpKiN,457,1636,GB,123,73,50,0,1v1 Random Map
624644,Holland,493,1623,NL,132,78,54,1,1v1 Random Map
1868958,tr3VS_,498,1622,BR,295,161,134,14,1v1 Random Map
1848728,yago,522,1616,ES,262,143,119,40,1v1 Random Map
1073722,Looki,529,1613,FR,590,312,278,12,1v1 Random Map
403294,Arqb | Shivansh,549,1610,IN,586,309,277,23,1v1 Random Map
615163,᠌Lambes,552,1609,BR,967,497,470,12,1v1 Random Map
631646,[mPzzA] rainManzD,569,1606,US,682,358,324,29,1v1 Random Map
2265763,_SickManCat_,575,1605,TW,34,26,8,0,1v1 Random Map
254567,bav_tarantula,580,1603,DE,54,38,16,2,1v1 Random Map
216107,[bK] guizica,585,1603,BR,481,262,219,17,1v1 Random Map
287230,Burelés,588,1602,ES,943,487,456,19,1v1 Random Map
2509215,Digger,594,1600,GB,66,44,22,0,1v1 Random Map
348134,Erge_____,595,1600,CN,241,135,106,5,1v1 Random Map
504443,****,599,1599,CN,715,367,348,67,1v1 Random Map
2547340,_HerTz___,602,1598,AR,56,39,17,3,1v1 Random Map
355871,Grinder,603,1598,RU,182,102,80,0,1v1 Random Map
274130,BIGDADDY,614,1595,FR,194,107,87,1,1v1 Random Map
1823161,Euler,622,1594,JP,240,135,105,1,1v1 Random Map
212921,Albert_Stone,627,1590,MX,27,24,3,0,1v1 Random Map
336983,Thomasbeer,656,1581,NL,474,256,218,39,1v1 Random Map
793776,GrimorG,657,1580,FR,95,57,38,2,1v1 Random Map
219663,Bujakabla,670,1577,DE,189,111,78,7,1v1 Random Map
574945,TheMole - 67,676,1575,FR,223,123,100,3,1v1 Random Map
2382926,VN_MiLLeNcOlin,678,1575,MX,75,46,29,0,1v1 Random Map
307076,bushi27,685,1574,GR,52,35,17,1,1v1 Random Map
258972,DriNkY_T,687,1573,DE,26,20,6,1,1v1 Random Map
498973,GoodMan,688,1573,GB,283,150,133,2,1v1 Random Map
1857655,ReadyFreddy,694,1573,DE,277,147,130,4,1v1 Random Map
355537,_sala,717,1567,HK,513,269,244,6,1v1 Random Map
2149041,DaRs | Cambalache_,735,1563,AR,507,264,243,4,1v1 Random Map
420486,JoBi,740,1562,NO,280,153,127,3,1v1 Random Map
401359,Twitch.com/Lord_Envidiates,750,1560,MX,277,155,122,6,1v1 Random Map
1091018,MNP,768,1556,TR,68,38,30,1,1v1 Random Map
208701,[mPzzA] K1,791,1552,IR,132,79,53,9,1v1 Random Map
910232,小四,792,1551,TW,665,348,317,11,1v1 Random Map
1184825,Edkal,806,1549,FR,376,202,174,2,1v1 Random Map
249430,Av3stan,808,1548,PT,101,58,43,1,1v1 Random Map
2262048,Spider Cop,818,1546,TR,195,105,90,8,1v1 Random Map
741271,_Ats,826,1544,BR,57,39,18,1,1v1 Random Map
233707,Brentajacied,868,1536,NL,147,87,60,1,1v1 Random Map
269023,Pichaku,872,1535,BR,18,12,6,0,1v1 Random Map
457389,Sandalen,876,1534,NO,11,9,2,0,1v1 Random Map
2449838,_悟空_WuKong,886,1533,CN,33,15,18,1,1v1 Random Map
2513626,Ibboy,903,1530,CL,25,20,5,0,1v1 Random Map
932993,G00Dfellaz-GyN,910,1528,AR,44,29,15,1,1v1 Random Map
669217,MrNiceGuy,912,1528,DE,359,193,166,3,1v1 Random Map
1650931,BAHAE,942,1525,MA,289,152,137,21,1v1 Random Map
867046,Nuno,948,1524,BR,218,119,99,6,1v1 Random Map
78611,Joanel,1015,1512,AR,369,196,173,7,1v1 Random Map
214095,Scherom,1030,1510,CH,470,249,221,6,1v1 Random Map
196005,Dufon,1037,1509,PT,542,286,256,5,1v1 Random Map
404048,TheChemist,1056,1507,US,57,31,26,1,1v1 Random Map
87617,tomorrowcomestoday,1063,1506,AR,241,135,106,7,1v1 Random Map
1780873,plop plop,1097,1502,FR,127,73,54,1,1v1 Random Map
209204,Killer_Storm_,1113,1500,IT,384,207,177,8,1v1 Random Map
1117520,Rafellipe_rlZ,1118,1499,CA,71,46,25,1,1v1 Random Map
233587,Barkovian,1129,1498,FI,576,303,273,20,1v1 Random Map
21044,The_Barto,1144,1497,CO,74,46,28,1,1v1 Random Map
226861,_Mich_,1145,1496,IT,353,185,168,2,1v1 Random Map
1859818,NK,1146,1496,SE,15,14,1,0,1v1 Random Map
209966,徐仙,1152,1495,CN,107,70,37,1,1v1 Random Map
2345306,hangemhigh,1153,1495,TR,188,102,86,2,1v1 Random Map
222418,Nightmare,1154,1495,NL,53,36,17,2,1v1 Random Map
779225,kgbrenan,1157,1494,BR,113,62,51,0,1v1 Random Map
261535,Faranight,1165,1493,ES,631,329,302,9,1v1 Random Map
261045,BlackCoffee,1170,1492,US,180,105,75,2,1v1 Random Map
208812,GriN,1174,1492,RU,318,173,145,6,1v1 Random Map
260407,GmanStreams,1195,1488,NL,41,26,15,0,1v1 Random Map
931567,Wish,1204,1487,SE,249,135,114,5,1v1 Random Map
220792,Don_Pablo,1210,1487,DE,350,186,164,4,1v1 Random Map
269503,cackle_,1216,1486,US,107,63,44,1,1v1 Random Map
1477239,noname8135,1274,1478,TW,240,127,113,12,1v1 Random Map
253068,shanavii,1336,1468,PL,182,100,82,2,1v1 Random Map
543093,Ann0r,1347,1467,DE,62,37,25,5,1v1 Random Map
221824,LEON,1353,1467,FR,181,103,78,3,1v1 Random Map
306756,TheCapeMan,1358,1467,CA,342,180,162,7,1v1 Random Map
101103,TheVuki,1363,1466,DE,36,25,11,0,1v1 Random Map
362024,Project Exile,1370,1465,DE,224,120,104,2,1v1 Random Map
120105,hchxie,1374,1464,CN,237,134,103,6,1v1 Random Map
942980,Sir_Tableflipper,1386,1463,RO,32,11,21,0,1v1 Random Map
798470,ifanzin,1392,1462,BR,357,187,170,12,1v1 Random Map
2237145,cz.jarosa,1410,1461,CZ,34,24,10,0,1v1 Random Map
2571904,Django ist doof,1465,1455,DE,12,12,0,0,1v1 Random Map
1160570,ZertoN,1467,1454,DE,145,84,61,2,1v1 Random Map
1782455,CN_Dauh,1475,1454,CN,265,147,118,11,1v1 Random Map
217871,_hugo,1477,1454,GB,495,261,234,37,1v1 Random Map
689582,Undrass,1496,1451,NO,548,288,260,127,1v1 Random Map
426007,TheGrashopper,1502,1450,NL,133,76,57,1,1v1 Random Map
226549,Bulbuci,1523,1448,RO,82,49,33,1,1v1 Random Map
1347107,Baafmeister,1545,1447,NL,50,32,18,0,1v1 Random Map
1128085,Straight outta NPL,1547,1446,NL,304,162,142,2,1v1 Random Map
215410,fine thank you,1557,1446,CN,57,39,18,2,1v1 Random Map
961262,Josefromspain,1559,1445,US,315,168,147,14,1v1 Random Map
209316,Szyber,1561,1445,PL,277,154,123,6,1v1 Random Map
1450147,ZondaR,1598,1442,US,40,26,14,0,1v1 Random Map
896261,[DD] Flempopo,1602,1441,DK,338,175,163,3,1v1 Random Map
2094035,紅色9,1615,1441,BE,201,109,92,1,1v1 Random Map
541547,Philoepe [GER],1622,1440,DE,135,77,58,0,1v1 Random Map
1520958,dreibasti,1634,1439,DE,109,63,46,0,1v1 Random Map
540993,Joker,1639,1438,DE,101,61,40,3,1v1 Random Map
2520445,TheVipa,1653,1436,BR,22,15,7,0,1v1 Random Map
358370,Faultier321,1657,1436,DE,242,128,114,13,1v1 Random Map
1826067,Fly like Django,1659,1436,DE,270,146,124,2,1v1 Random Map
1715442,ObtuseHawk,1677,1435,US,163,88,75,1,1v1 Random Map
255233,queronte,1681,1434,CL,166,92,74,4,1v1 Random Map
293743,Marthyn,1704,1432,AR,24,18,6,0,1v1 Random Map
2681205,Deus vult,1709,1431,US,11,11,0,0,1v1 Random Map
500274,BonanaKing,1719,1430,SE,62,39,23,0,1v1 Random Map
2320426,Mginner,1722,1430,MX,29,21,8,1,1v1 Random Map
2230668,tobedq,1723,1430,DE,15,13,2,0,1v1 Random Map
286096,Mario,1730,1429,DE,212,116,96,1,1v1 Random Map
377935,Yo,1738,1429,FR,274,147,127,6,1v1 Random Map
2394084,Pikeman,1793,1424,AR,136,75,61,3,1v1 Random Map
242134,Kieronortti,1810,1422,FI,381,202,179,34,1v1 Random Map
231489,Tiến Sĩ Lê Thành Sách,1812,1422,VN,246,129,117,11,1v1 Random Map
226140,PhantasticPhil,1813,1422,AT,134,78,56,4,1v1 Random Map
918734,andychen662000,1828,1420,TW,263,141,122,6,1v1 Random Map
608038,clod9353,1841,1419,IT,76,44,32,5,1v1 Random Map
546202,Bourbon Jr.,1842,1419,SA,150,84,66,1,1v1 Random Map
222365,Akers,1844,1419,US,57,29,28,0,1v1 Random Map
1150604,Fatihaydemir38,1883,1415,NL,104,59,45,10,1v1 Random Map
2188446,どるみーる,1888,1415,JP,80,47,33,0,1v1 Random Map
1655898,[KM]FrosT,1903,1414,CL,224,123,101,3,1v1 Random Map
2126902,LiLi,1912,1413,TR,481,250,231,3,1v1 Random Map
198887,luki00thesecond,1917,1412,AT,434,227,207,5,1v1 Random Map
210855,M4lt3,1935,1411,DE,192,107,85,5,1v1 Random Map
242555,Herzog der Normandie,1936,1411,DE,234,125,109,13,1v1 Random Map
265163,I_AM_CHRIS,1945,1410,CO,242,132,110,13,1v1 Random Map
2116604,squeaker,1953,1410,GB,193,106,87,1,1v1 Random Map
17166,Lay'sCola,1959,1410,CN,342,183,159,28,1v1 Random Map
283554,Monkey Boy,1960,1409,DE,168,95,73,0,1v1 Random Map
2075973,VN_THoMaS,1970,1409,ES,26,19,7,0,1v1 Random Map
1890141,Svriz,1971,1409,CL,84,44,40,0,1v1 Random Map
1030879,aegus,1974,1409,BE,253,132,121,2,1v1 Random Map
1319221,TheDiaper,1985,1408,CA,145,80,65,2,1v1 Random Map
252660,CitizenAbel,1989,1407,DE,55,29,26,1,1v1 Random Map
375354,TimmeahNL,1998,1407,NL,92,57,35,0,1v1 Random Map
2680420,Tuti,2034,1405,FR,10,10,0,0,1v1 Random Map
706803,-Accelerator,2046,1404,US,35,24,11,0,1v1 Random Map
537486,Snikolay,2050,1404,NL,82,48,34,0,1v1 Random Map
214558,Fox,2059,1403,US,302,161,141,3,1v1 Random Map
564024,LameBoy杉浦,2062,1403,JP,21,16,5,0,1v1 Random Map
1191728,TheSlim3,2082,1402,US,114,67,47,2,1v1 Random Map
1741565,Neza___,2096,1401,MX,47,28,19,0,1v1 Random Map
251421,MaesterFAB,2102,1400,NA,29,21,8,1,1v1 Random Map
574143,Charles V le Sage,2103,1400,FR,445,235,210,6,1v1 Random Map
223262,Buntar',2111,1400,LV,112,67,45,2,1v1 Random Map
1867537,galigeigei44,2115,1400,CN,27,19,8,2,1v1 Random Map
445587,htolS,2125,1399,US,221,120,101,3,1v1 Random Map
2432919,Returned_Legend,2127,1399,US,30,20,10,1,1v1 Random Map
2132771,Biohazard,2128,1399,CH,162,91,71,0,1v1 Random Map
344078,yushi,2129,1399,GB,50,32,18,0,1v1 Random Map
2595751,Moctezuma,2139,1398,FR,180,95,85,1,1v1 Random Map
289624,_guga,2147,1398,BR,118,68,50,1,1v1 Random Map
285635,Idaguy,2182,1394,CA,130,66,64,2,1v1 Random Map
211468,a220541515,2186,1394,TW,774,400,374,14,1v1 Random Map
2329473,Ryszko,2223,1392,HU,54,32,22,0,1v1 Random Map
493574,Death0rGlory,2231,1391,DE,54,33,21,0,1v1 Random Map
2630006,bucknucky,2233,1391,AU,13,11,2,1,1v1 Random Map
1427042,Boxxhenizeel,2241,1391,BG,338,179,159,3,1v1 Random Map
1752510,TheJokeer,2252,1390,DE,218,117,101,3,1v1 Random Map
703782,Tilmarod,2259,1389,ES,72,45,27,0,1v1 Random Map
2274841,clp01234544 no notification,2266,1389,HK,65,38,27,2,1v1 Random Map
